Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Relaxin signaling pathway,41/131,0.0050111855707247,0.0296580370512279,0,0,1.683251942869145,8.914641580245428,SHC4;SHC2;RXFP4;ADCY4;PIK3CD;ADCY3;PIK3R2;ADCY7;EGFR;GNAI1;GNAI2;GNG10;EDNRB;GNGT2;GNG2;GNG4;CREB3L2;AKT3;GNG8;PRKACB;NOS3;MMP2;VEGFC;PRKCA;VEGFD;GNG11;GNG13;COL1A1;GNAO1;ACTA2;MAPK10;COL3A1;ADCY9;COL1A2;COL4A2;COL4A1;COL4A4;COL4A3;COL4A6;COL4A5;PLCB1
KEGG_2019_Mouse,Insulin secretion,29/86,0.0053725302480035,0.0311606754384207,0,0,1.878524067000678,9.81802394337969,CAMK2B;CHRM3;RYR2;ADCYAP1R1;ATP1A4;ADCY4;SLC2A2;ADCY3;ATP1A2;CACNA1D;ATP1A1;CACNA1C;ADCY7;PCLO;KCNMB1;CREB3L2;KCNMB4;KCNN2;PRKACB;CAMK2G;PRKCG;ATP1B3;PRKCA;ATP1B2;GCK;ADCY9;KCNMA1;PLCB1;RAPGEF4
KEGG_2019_Mouse,GABAergic synapse,30/90,0.0056575538370719,0.0321704041715854,0,0,1.846217299080839,9.55373819595976,ADCY4;CACNA1B;ADCY3;CACNA1A;ABAT;CACNA1D;CACNA1C;ADCY7;GNAI1;GLS;GNAI2;GABRR1;GNG10;GNGT2;GNG2;GNG4;GNG8;GABRE;PRKACB;SLC38A2;SLC38A5;PRKCG;GABBR1;PLCL1;SLC6A13;PRKCA;GNG11;GNG13;GNAO1;ADCY9
KEGG_2019_Mouse,Type II diabetes mellitus,18/48,0.0077749556465325,0.0433603295672009,0,0,2.213443008225617,10.750355197466774,PRKCE;ADIPOQ;CACNA1B;IRS4;CACNA1A;SLC2A2;PIK3CD;IRS2;PIK3R2;CACNA1D;CACNA1C;SLC2A4;MAFA;GCK;CACNA1G;MAPK10;SOCS3;SOCS1
KEGG_2019_Mouse,Malaria,18/49,0.0098821012666508,0.0540718748552592,0,0,2.1419051590159586,9.88924061413536,IL10;VCAM1;LRP1;GYPC;HGF;ITGB2;HBB-BS;THBS1;SELE;THBS4;ICAM1;THBS3;COMP;SELP;IL6;PECAM1;CCL2;ACKR1
KEGG_2019_Mouse,Bile secretion,24/72,0.0124507440928113,0.0667382635173974,0,0,1.8450223582019296,8.092221737083465,ABCC4;ABCG8;ABCG5;SCT;SLC10A1;EPHX1;ATP1A4;ADCY4;ADCY3;AQP4;ATP1B3;ATP1A2;ATP1B2;ATP1A1;SLC4A4;ADCY7;AQP1;SLC9A1;ADCY9;NCEH1;KCNN2;ABCB1A;PRKACB;ABCB1B
KEGG_2019_Mouse,TGF-beta signaling pathway,29/91,0.0126572568739891,0.0667382635173974,0,0,1.726479128028944,7.543892956331263,BMPR2;HAMP2;AMHR2;ZFYVE9;CHRD;THBS1;AMH;ACVR1;SMAD1;TGIF2;FST;NOG;SMAD9;INHBA;GDF6;SMAD6;BMP7;DCN;BMP6;RGMA;BMP5;SMAD7;BMP4;BAMBI;ID4;ID3;FMOD;NBL1;HAMP
KEGG_2019_Mouse,Dopaminergic synapse,40/135,0.0146859377938691,0.0751201333101065,0,0,1.5549007174207667,6.563025792272295,CAMK2B;MAOB;MAOA;CACNA1B;ITPR1;CACNA1A;CALML3;CACNA1D;CALML4;CACNA1C;SLC6A3;GNAI1;GNAI2;GNG10;GNGT2;GNG2;KIF5C;GNG4;CREB3L2;AKT3;GNG8;PRKACB;CAMK2G;GRIA3;SLC18A2;SCN1A;GRIA4;PRKCG;KCNJ5;PRKCA;GNG11;GNG13;GNAO1;MAPK10;TH;PPP2R2C;PPP2R2B;PLCB1;CLOCK;CALM2
KEGG_2019_Mouse,Breast cancer,43/147,0.0147649917195726,0.0751201333101065,0,0,1.5270708310601928,6.437361475739626,SHC4;SHC2;CDKN1A;NOTCH4;FLT4;TCF7;PIK3CD;PIK3R2;FZD10;FGF1;FGF2;DLL1;EGFR;IGF1R;DLL4;WNT6;WNT11;PEG12;FGF9;HEY1;AKT3;FGF23;HES5;FGF21;FZD1;JAG2;NCOA1;APC2;WNT10B;WNT10A;FZD3;TCF7L1;FZD2;JAG1;FZD7;FZD9;FZD8;AXIN2;WNT9A;ESR2;FGF17;FGF18;FGFR1
KEGG_2019_Mouse,Hedgehog signaling pathway,16/44,0.0161354248487097,0.0806771242435487,0,0,2.107319037551596,8.696353809476747,EVC2;DHH;HHIP;PTCH2;LRP2;GLI1;KIF7;GLI3;GLI2;CCND2;EVC;GPR161;BOC;BCL2;GAS1;PRKACB
