GeneID,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
73332,Ccdc30,7.15820395634151,-3.164107303274286,0.6482124411590987,-4.881281355255076,1.0539873873349883e-06,3.190826967135375e-06
73338,Itpripl1,291.3605286770238,0.5035180465557892,0.2159336863263293,2.3318179535676924,0.01971027013523487,0.03218027607240843
73340,Nptxr,12.512149147138855,-2.314661587020109,0.4926058248598756,-4.698810834562354,2.6168068711357926e-06,7.546224299783355e-06
73349,1700042G15Rik,39.19775562659323,6.2855325678044975,0.8398663314568652,7.483967784375123,7.211163938131383e-14,4.3397845247531844e-13
73368,Col20a1,71.00723575744318,1.2173893473906272,0.2717226496471192,4.480264523298396,7.455058755465621e-06,2.0302978771728373e-05
73379,Dcbld2,675.2241915038151,-2.827830296256455,0.24101970770229336,-11.732776224877762,8.657183097956993e-32,1.4890512475039219e-30
73385,Fam177a,744.7709402998918,0.8511536168585236,0.20738488793667884,4.1042219870833,4.056777895848239e-05,0.00010020289110834872
73390,Msl3l2,83.37937099541531,-0.6299633455449474,0.22577337925321414,-2.7902463418347367,0.0052667951825904275,0.009560037385875441
73419,Armt1,109.94353091173802,1.9145105602162849,0.20198120628251448,9.478656927805584,2.5757687561821317e-21,2.5693803059689093e-20
73442,Hspa12a,42.4867013822699,-3.3401984224862136,0.3007545518960012,-11.106061076811999,1.1721675788162153e-28,1.7287516564999083e-27
73449,Smim33,8.034038302329394,2.388125556258625,0.5749830458831826,4.153384301254358,3.275938828521425e-05,8.19439879258178e-05
73458,Aldh3b3,15.363608511784347,2.3480666708419466,0.5304039029410264,4.426940785733659,9.557895652835792e-06,2.567835439533186e-05
73469,Rnf38,2305.8931611114544,-0.9067180504298322,0.17047759065955753,-5.318693482948978,1.0451503771057579e-07,3.557161969468877e-07
73474,Snhg9,3.53268885826185,-1.7199796795674733,0.8003603947070328,-2.1490064862555593,0.031633885781930764,0.0496702562269321
73504,1700071M16Rik,2.2074622131470747,-3.502078953430794,1.5625657662684451,-2.2412361956412816,0.025010779427456515,0.040035461386841435
73516,1700086O06Rik,71.60413626209039,1.1519734353361095,0.22323346874210082,5.1603975059267295,2.4642604577247776e-07,8.046625571319998e-07
735277,Mir697,2.2226629267388858,-2.682974270213847,0.982575592663029,-2.7305525297471585,0.00632282558016576,0.011320361047724319
73545,Cfap141,100.80097036223724,1.157596534051136,0.2576202129802968,4.493422781774001,7.0087442730107415e-06,1.9156491178820423e-05
73558,1700110K17Rik,5.570540302904255,4.347589823034542,1.1069258848766388,3.927625040152583,8.578882133532596e-05,0.00020319083945641734
73569,Vgll3,376.40527270585943,-7.293537909248869,0.44676095640150826,-16.325369987555714,6.514456198746696e-60,3.23209358333094e-58
73598,1700001O22Rik,94.83125848845394,2.689357201624013,0.3318115245964695,8.105074725462467,5.271310915802956e-16,3.733367937108403e-15
73603,Trp53tg5,7.898903933560281,-1.4564910790793866,0.41770101330940124,-3.486922541891294,0.0004886128506576163,0.0010436439227097087
73608,Marveld3,513.3918683872688,3.7253112512386846,0.2281227489627253,16.330292652432448,6.009538924151979e-60,2.9894293232432854e-58
73610,Zfp433,66.90774661061229,0.8755443845315328,0.1440318074005394,6.078826617073014,1.2106517632860767e-09,5.0686490102761255e-09
73617,1700122H20Rik,63.72415119846227,0.6534305871495404,0.2316627976025603,2.8206107925475505,0.004793231851241593,0.008750020442686609
73644,2210039B01Rik,1.8213264863137155,4.436655356463242,1.485276985042756,2.9870895470285133,0.0028164721203670987,0.00534321281526488
73647,Capn9,3.221139935971815,4.1904437434564334,1.070289802439363,3.915242146478213,9.031352029681541e-05,0.0002132129978981768
73666,Thoc3,477.54732770583615,1.1243762541487585,0.19765078185101212,5.688701272106811,1.2800917363909043e-08,4.798251636612503e-08
73668,Ttc21b,405.8966591055189,-1.148250398648064,0.17042573091640492,-6.737541288359148,1.610891748959619e-11,7.956803431038327e-11
73680,Zbtb8a,203.69391200111875,1.7625162853217216,0.31256006867733244,5.638968191874931,1.7107213003552533e-08,6.322143644304077e-08
