GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
73472	Spata18	0	0	0	0	0	0	0	0	0	0	0	0
73473	Iws1	1309	1365	1152	1062	512	460	1470	1376	1199	1115	1050	997
73474	Snhg9	1	1	0	2	0	4	1	5	11	7	7	4
73475	1700067G17Rik	0	1	0	0	3	0	0	0	0	0	1	0
73477	1700081H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
73480	1700074H08Rik	0	0	0	0	0	0	0	0	0	0	0	0
73481	Prss59	0	0	0	0	0	0	0	0	0	0	0	0
73486	1700084J12Rik	22	15	6	10	5	10	15	14	18	13	7	9
73487	1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0
73489	1700080N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
73490	Mipol1	120	128	96	82	29	23	83	97	101	117	108	79
73495	Samt3	0	0	0	0	0	0	0	0	0	0	0	0
73503	Mbd3l1	0	0	0	0	0	0	0	0	0	0	0	0
73504	1700071M16Rik	0	0	0	0	0	0	0	0	2	7	12	6
73505	1700072O05Rik	0	0	0	0	0	0	0	0	0	0	0	0
73515	Nell1os	0	0	0	0	0	0	0	0	0	0	0	0
73516	1700086O06Rik	75	81	68	81	74	118	41	37	49	52	58	41
73523	Pebp4	0	0	2	1	0	0	0	1	1	0	0	0
735252	Mir181a-1	0	0	0	0	0	0	0	0	0	0	0	0
735253	Mir488	0	0	0	0	0	0	0	0	0	0	0	0
735255	Mir669b	0	0	0	0	0	0	0	0	0	0	0	0
735256	Mir669a-1	0	0	0	0	0	0	0	0	0	0	0	0
735257	Mir467b	0	0	0	0	0	0	0	0	0	0	0	0
735258	Mir669a-2	0	0	0	0	0	0	0	0	0	0	0	0
735259	Mir670	0	0	0	0	0	0	0	0	0	0	0	0
73526	Speer4b	0	0	0	0	0	0	1	0	1	0	1	0
735260		0	0	0	0	0	0	0	0	0	0	0	0
735261	Mir684-2	4	5	1	4	2	1	4	6	3	2	0	1
735262	Mir455	0	0	0	0	0	0	0	0	0	0	0	0
735263	Mir698	0	0	0	0	2	0	0	0	0	0	0	0
735264	Mir671	0	0	0	0	0	0	0	0	0	0	0	0
735265	Mir703	610	628	512	484	171	171	391	443	358	353	287	250
735266	Mir592	0	0	0	0	0	0	0	0	0	0	0	0
735267	Mir705	0	0	0	0	0	0	0	0	0	0	0	0
735268	Mir680-1	0	0	0	0	0	0	0	0	0	0	0	0
735269	Mir707	9	8	8	11	2	3	8	13	6	7	4	8
735270	Mir710	0	0	0	0	0	0	0	0	0	0	0	0
735271	Mir709	3	1	1	1	3	1	2	2	0	5	0	0
735274	Mir684-1	1	0	0	0	0	0	0	0	0	0	1	0
735275	Mir499	0	0	0	0	0	0	0	0	0	0	0	0
735277	Mir697	2	2	0	0	0	0	4	5	3	4	8	2
735278	Mir701	0	0	0	0	0	0	0	0	0	0	0	0
735279	Mir490	0	0	0	0	0	0	0	0	0	0	0	0
735280	Mir675	0	0	0	0	0	0	0	0	0	0	0	0
735282	Mir491	0	0	0	0	0	1	0	0	1	0	0	0
735283	Mir702	0	0	0	0	0	0	0	0	0	0	0	0
735284	Mir708	0	0	0	0	0	0	0	0	0	0	0	0
735285	Mir700	0	0	0	0	0	0	0	0	0	0	0	0
735286	Mir467a-1	0	0	0	0	0	0	0	0	0	0	0	0
735287	Mir695	0	0	0	0	0	0	0	0	0	0	0	0
735289	Mir704	0	0	0	0	0	0	0	0	0	0	0	0
73529	1700072B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
735308	Mir216b	0	0	0	0	0	0	0	0	0	0	0	0
735309	Mir449c	0	0	0	0	0	0	0	0	0	0	0	0
73531	1700069P05Rik	0	0	0	0	0	0	0	0	0	0	0	0
73532	Nudt16l2	0	0	0	0	0	0	0	0	0	0	0	0
73536	1700092K14Rik	0	0	0	0	0	0	1	0	0	0	0	0
73542	Tssk5	1	1	0	0	0	0	0	0	1	0	0	0
73545	Cfap141	132	139	151	129	93	101	115	103	57	36	64	57
73547	Dusp21	0	0	0	0	0	0	0	0	0	0	0	0
73549	1700110I01Rik	0	0	0	0	0	0	0	0	0	1	0	0
73553	1700091H14Rik	0	0	0	0	0	0	0	0	0	0	0	0
73554	1700092C10Rik	0	0	0	0	0	0	1	0	0	0	0	0
73558	1700110K17Rik	0	0	11	6	11	17	0	0	1	0	0	0
73567	Gldnos	0	0	0	0	0	0	0	0	0	0	0	0
